"ClipID","EventID","INSTANCE_TYPE","SYNOPSIS","GENRE","TOPIC","SCENE","OBJECTS","ACTIVITIES","INSTANCE_VARIETY","INSTANCE_COMPLEXITY","AUDIO_EVIDENCE","TEXT_EVIDENCE","NON_ENG_SPEECH","NON_ENG_TEXT"
"1074","NULL","NULL","Cat playing with a ball","Home Video","ANIMALS","","","","","","","","",""
"1075","NULL","NULL","Cat playing fetch","Home Video","ANIMALS","","","","","","","","",""
"1077","NULL","NULL","Cats lying around","Home Video","ANIMALS","","","","","","","","",""
"1078","NULL","NULL","Two men hike through a mountain wilderness area.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1084","NULL","NULL","Dog playing fetch","Home Video","ANIMALS","","","","","","","","",""
"1085","NULL","NULL","Cats wandering around a house","Home Video","ANIMALS","","","","","","","","",""
"1087","NULL","NULL","Dog and cats begging for chicken","Home Video","ANIMALS","","","","","","","","",""
"1099","NULL","NULL","Footage of a river and its surroundings, where a couple are camping with an RV.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"1103","P001","positive","Putting up a tent in double time","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1109","P001","positive","Tent setup in timelapse","Home Video","MED_10_EVENTS","Outdoors","Tent equiptment, people, machines","","normal","normal","no","no","no","no"
"1110","P001","positive","Tent set up in high speed","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1111","NULL","NULL","Text about snowfall, followed by footage of someone driving a snowplow, with more text.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1113","P001","positive","Erecting a tent in timelapse while someone reads a poem","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1114","NULL","NULL","A person talks to the camera about the camping trip they are going on the next day.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1115","P001","positive","Assembling huge tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1122","P001","positive","Timelapse of someone setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1123","P001","positive","Timelapse of many people setting up a huge tent for a festival","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1126","NULL","NULL","Time lapse video of someone creating a painting of a person from start to finish, then manipulating the image on a computer.","Amateur Footage","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
"1128","P001","positive","Putting up a big tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1129","P001","positive","Pitching a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","yes","no","no"
"1131","P001","positive","Assembling tent trailer in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1145","NULL","NULL","Little boy playing with his shadow and on a bed","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1146","NULL","NULL","Little boy typing on a keyboard and saying cheese to the camera","Home Video","SCIENCE & TECHNOLOGY","","","","","","","","",""
"1147","NULL","NULL","Little boy and adults dancing at a wedding","Home Video","DANCE","","","","","","","","",""
"1148","NULL","NULL","Little boy petting a cat","Home Video","ANIMALS","","","","","","","","",""
"1149","NULL","NULL","Little boy rolling down a hill","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1159","P002","positive","Batter hits a two run home run over the center field fence and is then conrgatulated by his teammates at home plate.","Home Video","MED_10_EVENTS","Little League game at Little League field, lighted field at night in a residential area with houses visible in the background","batsman, pitcher, other players, coaches, umpires, spectators\nbaseball, bat, glove, fence","hitting a home run, driving in two runs","normal","normal","yes","no","no","no"
"1165","P001","positive","A sped-up video of a man pitching a tent.","Home Video","MED_10_EVENTS","Outdoors, grassy field, day time","1 man, tent frame, tent covering","Attaching tent covering to tent frame","high","normal","no","no","no","no"
"1184","P001","positive","Man narrates the process of building an igloo in his yard.","Tutorial","MED_10_EVENTS","A yard in Virginia during a snowstorm.","Narrator, Chrissy, snow, shovels, recycling bins, trees, car, fence.","Shoveling, transporting snow in bins, digging out a hole in a snow pile, narrating, climbing.","normal","normal","yes","no","no","no"
"1212","P001","positive","Timelapse of two people putting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","yes","no","no"
"1214","P001","positive","Timelapse of two people putting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1215","P001","positive","Instructional video of erecting a tent trailer","Tutorial","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1219","P001","positive","Tent set up in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1221","P001","positive","Timelapse of a tent set up","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1222","P001","positive","Timelapse of a tent being set up","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1224","P001","positive","Timelapse of a tent set up","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1227","P001","positive","Assembling a tent plus moving it to the center of town and disassembling it","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1235","P001","positive","Constructing a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1236","NULL","NULL","Kids on a see saw","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1239","NULL","NULL","Little boy bouncing on a moon bounce","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1240","NULL","NULL","Little boys on a trampoline","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1243","NULL","NULL","Little boys playing in a tube","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1245","NULL","NULL","Little kids doing jumping jacks","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1249","NULL","NULL","Little kid sliding down a slide","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1250","NULL","NULL","Dad and children sliding down a slide","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1251","NULL","NULL","Little boy dancing to music","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1252","NULL","NULL","Little boy clapping to music","Home Video","MUSIC","","","","","","","","",""
"1256","NULL","NULL","Little girl and boy swinging on swings","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1257","P002","positive","In a youth softball game a batter is thrown four balls by a pitcher then they set up a tee for her to hit off of. Batter gets a hit. Following batter gets a base hit scoring the previous batter from f","Home Video","MED_10_EVENTS","softball field","softball players, coaches\nsoftball, bats, helmets, tee","batting in a run, hitting off of a tee, youth sports","normal","high","yes","no","no","no"
"1260","P001","positive","Setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1261","P001","positive","Timelapse of tent building","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1267","P001","positive","Timelapse of setting up a huge tent for a festival","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1334","NULL","NULL","Little girl on a swing","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1336","NULL","NULL","Little girl singing with her mom","Home Video","MUSIC","","","","","","","","",""
"1339","NULL","NULL","Little girl twirling","Home Video","DANCE","","","","","","","","",""
"1342","NULL","NULL","Little girl and boys pretending to be a ballerina with instant replay","Home Video","DANCE","","","","","","","","",""
"1344","NULL","NULL","Little girl eating lunch and saying she loves it","Home Video","FOOD & DRINK","","","","","","","","",""
"1346","NULL","NULL","Little girl on the piano and singing","Home Video","MUSIC","","","","","","","","",""
"1348","NULL","NULL","Little kids dancing","Home Video","DANCE","","","","","","","","",""
"1352","NULL","NULL","Little kids on a slip and slide","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1380","P002","positive","t-ball run scored","Home Video","MED_10_EVENTS","t-ball field","t-ball stand, two players, crowd","swinging, batting, running, cheering","normal","normal","yes","no","no","no"
"1406","P002","positive","Run batted in on a single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1407","P002","positive","Run batted in with a double","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1409","P002","positive","Bunt rbi","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1418","NULL","NULL","Kids playing in the dirt","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1423","NULL","NULL","Little girls on a see saw with her parents","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1424","NULL","NULL","Little girl moving a chair","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1426","NULL","NULL","Little girl on an egg hunt","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1427","NULL","NULL","Little girl playing in a doll house","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1428","NULL","NULL","Little girl trying to sing in french","Home Video","MUSIC","","","","","","","","",""
"1430","NULL","NULL","Little girl singing in a chair","Home Video","MUSIC","","","","","","","","",""
"1432","NULL","NULL","Little girl on a see saw with her dad","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1435","NULL","NULL","Little kids dancing","Home Video","DANCE","","","","","","","","",""
"1439","NULL","NULL","People playing in the pool","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1441","NULL","NULL","Little girl dancing","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1558","P002","positive","Player gets a home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1559","P002","positive","Home run in a baseball game","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1565","P002","positive","Montage of at-bats including a home run and grand slam","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1566","P002","positive","A 2 run home run","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1580","NULL","NULL","Little kid in a swing","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1584","NULL","NULL","Little kids in dress up","Home Video","CHILDREN","","","","","","","","",""
"1585","NULL","NULL","Babies playing","Home Video","CHILDREN","","","","","","","","",""
"1586","NULL","NULL","Babies playing on a bed with a foam noodle","Home Video","CHILDREN","","","","","","","","",""
"1587","NULL","NULL","Baby playing with a toy truck and sitting in a chair","Home Video","CHILDREN","","","","","","","","",""
"1588","NULL","NULL","Babies playing outside","Home Video","CHILDREN","","","","","","","","",""
"1591","NULL","NULL","Babies drawing and playing with books","Home Video","CHILDREN","","","","","","","","",""
"1592","NULL","NULL","Little girl in a ballerina costume","Home Video","CHILDREN","","","","","","","","",""
"1593","NULL","NULL","Little kids opening presents","Home Video","CELEBRATION","","","","","","","","",""
"1595","NULL","NULL","Little kid drawing and playing","Home Video","CHILDREN","","","","","","","","",""
"1596","NULL","NULL","Little kids playing with foam bats","Home Video","CHILDREN","","","","","","","","",""
"1598","NULL","NULL","Little girl playing on a bed and window sill","Home Video","CHILDREN","","","","","","","","",""
"1599","NULL","NULL","Babies playing in a fountain","Home Video","CHILDREN","","","","","","","","",""
"1601","NULL","NULL","Babies playing with a pretend lawnmower and car","Home Video","CHILDREN","","","","","","","","",""
"1606","P002","positive","Double with run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1607","P002","positive","Run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1618","P002","positive","Footage of a R.B.I.  during a baseball game.","Home Video","MED_10_EVENTS","Baseball field","Baseball teams, bat, baseball, gloves, bases, dirt, grass, chalk, cleats","Swinging, pitching, running, cheering","normal","normal","no","no","no","no"
"1619","NULL","NULL","Little kid on a swing","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1625","NULL","NULL","Little kid playing with mom","Home Video","CHILDREN","","","","","","","","",""
"1626","NULL","NULL","Baby playing with bubbles","Home Video","CHILDREN","","","","","","","","",""
"1627","NULL","NULL","A video documenting the construction of a greenhouse.","Amateur Footage","MED_10_EVENTS","","","","","","","","",""
"1628","NULL","NULL","Baby being tickled","Home Video","CHILDREN","","","","","","","","",""
"1630","NULL","NULL","Baby giggling","Home Video","CHILDREN","","","","","","","","",""
"1631","NULL","NULL","Little kid playing in the sand","Home Video","CHILDREN","","","","","","","","",""
"1632","NULL","NULL","Little kid trying to crawl","Home Video","CHILDREN","","","","","","","","",""
"1634","NULL","NULL","Little kid and mom going down a slide","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1638","NULL","NULL","Baby drumming on cans","Home Video","CHILDREN","","","","","","","","",""
"1648","NULL","NULL","Baby climbing stairs","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1650","NULL","NULL","Baby playing in a ball pit","Home Video","CHILDREN","","","","","","","","",""
"1659","P002","positive","A version of baseball for little kids, where whenever they get a hit they run all the way aroung the bases to score. We see two kids do this.","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1662","P002","positive","RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1663","P002","positive","RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1664","P002","positive","A batter at a baseball game hits a home run.","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","yes","no"
"1668","P002","positive","RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1680","NULL","NULL","Kids playing in a sprinkler","Home Video","CHILDREN","","","","","","","","",""
"1682","NULL","NULL","Little girl running around and playing","Home Video","CHILDREN","","","","","","","","",""
"1683","NULL","NULL","Little girl playing","Home Video","CHILDREN","","","","","","","","",""
"1713","NULL","NULL","A trainer demonstrates several exercises to develop leg muscles","Tutorial","SPORTS","","","","","","","","",""
"1723","NULL","NULL","Babies dancing in dress-up","Home Video","CHILDREN","","","","","","","","",""
"1727","NULL","NULL","Little kids feeding the ducks","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1733","NULL","NULL","People dancing","Home Video","DANCE","","","","","","","","",""
"1735","NULL","NULL","Demonstrates two forms of Olympic deadlift","Tutorial","SPORTS","","","","","","","","",""
"1737","NULL","NULL","Little girl dancing","Home Video","DANCE","","","","","","","","",""
"1738","NULL","NULL","Little kids walking and playing","Home Video","CHILDREN","","","","","","","","",""
"1739","NULL","NULL","Little girl playing with a wagon","Home Video","CHILDREN","","","","","","","","",""
"1744","NULL","NULL","Little kids singing and playing guitar","Home Video","MUSIC","","","","","","","","",""
"1748","P002","positive","Batter gets to third and run scores","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1754","P002","positive","Double with run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1757","P002","positive","Bunt for a RBI","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1758","P002","positive","Triple with 2 RBIs","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1760","P002","positive","Run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1761","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1762","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1763","P002","positive","Triple to knock in lead run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1767","NULL","NULL","Climbing a wall","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1771","NULL","NULL","Little boy singing ABCs","Demonstration","MUSIC","","","","","","","","",""
"1776","NULL","NULL","Footage on ziplining through trees.","Demonstration","OUTDOOR ACTIVITIES","","","","","","","","",""
"1780","NULL","NULL","Little girl apple picking","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1787","NULL","NULL","Little girl running around the house","Home Video","CHILDREN","","","","","","","","",""
"1788","NULL","NULL","Little girl talking/playing on a phone","Home Video","CHILDREN","","","","","","","","",""
"1790","P001","positive","Time lapse video of people building a yurt.","Home Video","MED_10_EVENTS","Outdoors, day time","Several people, blue tarp, pre-cut boards","Assembling boards, assembling roof, lifting roof, cutting out window","normal","normal","no","no","no","no"
"1791","NULL","NULL","People feeding an ostrich.","Home Video","ANIMALS","","","","","","","","",""
"1793","NULL","NULL","Little girl dancing with dad","Home Video","DANCE","","","","","","","","",""
"1794","P001","positive","time lapse video of igloo construction","Amateur Footage","MED_10_EVENTS","Outside, winter time","multiple people, snow, shovels","Building","normal","normal","no","no","no","no"
"1797","NULL","NULL","Little girl looking at snow","Demonstration","OUTDOOR ACTIVITIES","","","","","","","","",""
"1805","P002","positive","Little league home run plus two runs batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1807","P002","positive","Hit plus run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1810","P002","positive","Hit to center field with run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1811","P002","positive","2 rbi hit","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1814","NULL","NULL","Breakdance performers in Central PArk NYC, NY..","Amateur Footage","DANCE","","","","","","","","",""
"1815","P002","positive","2 RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1816","P002","positive","2 RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1818","NULL","NULL","Video of a snowboard competiton at Temple University.","Performance","OUTDOOR ACTIVITIES","","","","","","","","",""
"1826","P001","positive","Time lapse video of 2 people assembling a tent.","Home Video","MED_10_EVENTS","Outdoors, day time","2 people, tent poles, canvas","Attaching tent to poles, covering tent with canvas","normal","normal","no","no","no","no"
"1827","NULL","NULL","An interview with distance running legend Kennisa Bekele.","Interview","INFORMATIVE","","","","","","","","",""
"1830","P001","positive","Time lapse video of 2 people setting up a tent.","Home Video","MED_10_EVENTS","Outdoors, day time","2 people, tarp, tent poles, tent","Assembling tent, attaching the tent to the ground","normal","normal","no","no","no","no"
"1837","NULL","NULL","Baby playing","Home Video","CHILDREN","","","","","","","","",""
"1841","NULL","NULL","Baby playing and giggling","Home Video","CHILDREN","","","","","","","","",""
"1846","NULL","NULL","Baby eating food","Home Video","FOOD & DRINK","","","","","","","","",""
"1853","NULL","NULL","Baby crawling","Home Video","CHILDREN","","","","","","","","",""
"1863","NULL","NULL","Baby playing with toys","Home Video","CHILDREN","","","","","","","","",""
"1867","NULL","NULL","Baby playing with toys at Easter","Home Video","CHILDREN","","","","","","","","",""
"1869","NULL","NULL","Baby playing","Home Video","CHILDREN","","","","","","","","",""
"1870","NULL","NULL","Baby playing outside with dog","Home Video","CHILDREN","","","","","","","","",""
"1871","NULL","NULL","Little boy playing with rocks","Home Video","CHILDREN","","","","","","","","",""
"1878","P003","positive","A man decorates a 'happy' cake.","Home Video","MED_10_EVENTS","Kitchen","Decorator, woman filming (heard not seen), pots, microwave, cake, tube of icing","Decorating, laughing","normal","normal","yes","yes","no","no"
"1894","NULL","NULL","Runner's perspective.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"1895","NULL","NULL","Pattern Is Movement covers the sone 'Untitled (How Does it Feel?).'","Performance","PERFORMANCE","","","","","","","","",""
"1896","NULL","NULL","Outside performance by the band Pattern is Movement","Performance","PERFORMANCE","","","","","","","","",""
"1906","P001","positive","building an igloo","Amateur Footage","MED_10_EVENTS","outdoors, winter","man, igloo, shovel, snow","building an igloo","normal","normal","no","no","no","no"
"1926","NULL","NULL","A busy restaurant in Seoul, South Korea","Amateur Footage","FOOD & DRINK","","","","","","","","",""
"1929","NULL","NULL","Two baby gorillas play-fight","Amateur Footage","ANIMALS","","","","","","","","",""
"1931","NULL","NULL","Orangutans in a zoo.","Amateur Footage","ANIMALS","","","","","","","","",""
"1932","NULL","NULL","Giving a pet ferret a bath in the sink.","Home Video","ANIMALS","","","","","","","","",""
"1933","NULL","NULL","Yawning pet ferret.","Home Video","ANIMALS","","","","","","","","",""
"1936","P002","positive","Run scored at a tee-ball game.","Home Video","MED_10_EVENTS","Baseball diamond: night","Players, parents, fence.","Running, cheering.","normal","normal","yes","no","no","no"
"1937","NULL","NULL","The cameraman scares a squirrel away from a picnic table.","Home Video","ANIMALS","","","","","","","","",""
"1940","NULL","NULL","A woman gets pretty close to a squirrel in a park.","Home Video","ANIMALS","","","","","","","","",""
"1941","NULL","NULL","A squirrel steals bird food and buries it.","Home Video","ANIMALS","","","","","","","","",""
"1942","NULL","NULL","A black cat peaks out of a garage but doesn't go outside.","Home Video","ANIMALS","","","","","","","","",""
"1943","NULL","NULL","A bird eats a dead squirrel.","Home Video","ANIMALS","","","","","","","","",""
"1947","NULL","NULL","Dog eating another dog's treat.","Home Video","ANIMALS","","","","","","","","",""
"1951","NULL","NULL","A video of new plants before they are planted in a garden.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1956","P001","positive","A man converts a trailer into a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1958","P001","positive","Two men and a woman pitch a tent next to a trailer style camper.","Home Video","MED_10_EVENTS","campground","the people pitching a tent, a few who seem to just watch, a dog, a hat sit in the foreground","Assembling the tent with poles.","normal","normal","no","yes","no","no"
