"TrialID","ClipID","EventID"
"1599.P003","1599","P003"
"1601.P001","1601","P001"
"1601.P002","1601","P002"
"1601.P003","1601","P003"
"1606.P001","1606","P001"
"1606.P002","1606","P002"
"1606.P003","1606","P003"
"1607.P001","1607","P001"
"1607.P002","1607","P002"
"1607.P003","1607","P003"
"1618.P001","1618","P001"
"1618.P002","1618","P002"
"1618.P003","1618","P003"
"1619.P001","1619","P001"
"1619.P002","1619","P002"
"1619.P003","1619","P003"
"1625.P001","1625","P001"
"1625.P002","1625","P002"
"1625.P003","1625","P003"
"1626.P001","1626","P001"
"1626.P002","1626","P002"
"1626.P003","1626","P003"
"1627.P001","1627","P001"
"1627.P002","1627","P002"
"1627.P003","1627","P003"
"1628.P001","1628","P001"
"1628.P002","1628","P002"
"1628.P003","1628","P003"
"1630.P001","1630","P001"
"1630.P002","1630","P002"
"1630.P003","1630","P003"
"1631.P001","1631","P001"
"1631.P002","1631","P002"
"1631.P003","1631","P003"
"1632.P001","1632","P001"
"1632.P002","1632","P002"
"1632.P003","1632","P003"
"1634.P001","1634","P001"
"1634.P002","1634","P002"
"1634.P003","1634","P003"
"1638.P001","1638","P001"
"1638.P002","1638","P002"
"1638.P003","1638","P003"
"1648.P001","1648","P001"
"1648.P002","1648","P002"
"1648.P003","1648","P003"
"1650.P001","1650","P001"
"1650.P002","1650","P002"
"1650.P003","1650","P003"
"1659.P001","1659","P001"
"1659.P002","1659","P002"
"1659.P003","1659","P003"
"1662.P001","1662","P001"
"1662.P002","1662","P002"
"1662.P003","1662","P003"
"1663.P001","1663","P001"
"1663.P002","1663","P002"
"1663.P003","1663","P003"
"1664.P001","1664","P001"
"1664.P002","1664","P002"
"1664.P003","1664","P003"
"1668.P001","1668","P001"
"1668.P002","1668","P002"
"1668.P003","1668","P003"
"1680.P001","1680","P001"
"1680.P002","1680","P002"
"1680.P003","1680","P003"
"1682.P001","1682","P001"
"1682.P002","1682","P002"
"1682.P003","1682","P003"
"1683.P001","1683","P001"
"1683.P002","1683","P002"
"1683.P003","1683","P003"
"1713.P001","1713","P001"
"1713.P002","1713","P002"
"1713.P003","1713","P003"
"1723.P001","1723","P001"
"1723.P002","1723","P002"
"1723.P003","1723","P003"
"1727.P001","1727","P001"
"1727.P002","1727","P002"
"1727.P003","1727","P003"
"1733.P001","1733","P001"
"1733.P002","1733","P002"
"1733.P003","1733","P003"
"1735.P001","1735","P001"
"1735.P002","1735","P002"
"1735.P003","1735","P003"
"1737.P001","1737","P001"
"1737.P002","1737","P002"
"1737.P003","1737","P003"
"1738.P001","1738","P001"
"1738.P002","1738","P002"
"1738.P003","1738","P003"
"1739.P001","1739","P001"
"1739.P002","1739","P002"
"1739.P003","1739","P003"
"1744.P001","1744","P001"
"1744.P002","1744","P002"
"1744.P003","1744","P003"
"1748.P001","1748","P001"
"1748.P002","1748","P002"
"1748.P003","1748","P003"
"1754.P001","1754","P001"
"1754.P002","1754","P002"
"1754.P003","1754","P003"
"1757.P001","1757","P001"
"1757.P002","1757","P002"
"1757.P003","1757","P003"
"1758.P001","1758","P001"
"1758.P002","1758","P002"
"1758.P003","1758","P003"
"1760.P001","1760","P001"
"1760.P002","1760","P002"
"1760.P003","1760","P003"
"1761.P001","1761","P001"
"1761.P002","1761","P002"
"1761.P003","1761","P003"
"1762.P001","1762","P001"
"1762.P002","1762","P002"
"1762.P003","1762","P003"
"1763.P001","1763","P001"
"1763.P002","1763","P002"
"1763.P003","1763","P003"
"1767.P001","1767","P001"
"1767.P002","1767","P002"
"1767.P003","1767","P003"
"1771.P001","1771","P001"
"1771.P002","1771","P002"
"1771.P003","1771","P003"
"1776.P001","1776","P001"
"1776.P002","1776","P002"
"1776.P003","1776","P003"
"1780.P001","1780","P001"
"1780.P002","1780","P002"
"1780.P003","1780","P003"
"1787.P001","1787","P001"
"1787.P002","1787","P002"
"1787.P003","1787","P003"
"1788.P001","1788","P001"
"1788.P002","1788","P002"
"1788.P003","1788","P003"
"1790.P001","1790","P001"
"1790.P002","1790","P002"
"1790.P003","1790","P003"
"1791.P001","1791","P001"
"1791.P002","1791","P002"
"1791.P003","1791","P003"
"1793.P001","1793","P001"
"1793.P002","1793","P002"
"1793.P003","1793","P003"
"1794.P001","1794","P001"
"1794.P002","1794","P002"
"1794.P003","1794","P003"
"1797.P001","1797","P001"
"1797.P002","1797","P002"
"1797.P003","1797","P003"
"1805.P001","1805","P001"
"1805.P002","1805","P002"
"1805.P003","1805","P003"
"1807.P001","1807","P001"
"1807.P002","1807","P002"
"1807.P003","1807","P003"
"1810.P001","1810","P001"
"1810.P002","1810","P002"
"1810.P003","1810","P003"
"1811.P001","1811","P001"
"1811.P002","1811","P002"
"1811.P003","1811","P003"
"1814.P001","1814","P001"
"1814.P002","1814","P002"
"1814.P003","1814","P003"
"1815.P001","1815","P001"
"1815.P002","1815","P002"
"1815.P003","1815","P003"
"1816.P001","1816","P001"
"1816.P002","1816","P002"
"1816.P003","1816","P003"
"1818.P001","1818","P001"
"1818.P002","1818","P002"
"1818.P003","1818","P003"
"1826.P001","1826","P001"
"1826.P002","1826","P002"
"1826.P003","1826","P003"
"1827.P001","1827","P001"
"1827.P002","1827","P002"
"1827.P003","1827","P003"
"1830.P001","1830","P001"
"1830.P002","1830","P002"
"1830.P003","1830","P003"
"1837.P001","1837","P001"
"1837.P002","1837","P002"
"1837.P003","1837","P003"
"1841.P001","1841","P001"
"1841.P002","1841","P002"
"1841.P003","1841","P003"
"1846.P001","1846","P001"
"1846.P002","1846","P002"
"1846.P003","1846","P003"
"1853.P001","1853","P001"
"1853.P002","1853","P002"
"1853.P003","1853","P003"
"1863.P001","1863","P001"
"1863.P002","1863","P002"
"1863.P003","1863","P003"
"1867.P001","1867","P001"
"1867.P002","1867","P002"
"1867.P003","1867","P003"
"1869.P001","1869","P001"
"1869.P002","1869","P002"
"1869.P003","1869","P003"
"1870.P001","1870","P001"
"1870.P002","1870","P002"
"1870.P003","1870","P003"
"1871.P001","1871","P001"
"1871.P002","1871","P002"
"1871.P003","1871","P003"
"1878.P001","1878","P001"
"1878.P002","1878","P002"
"1878.P003","1878","P003"
"1894.P001","1894","P001"
"1894.P002","1894","P002"
"1894.P003","1894","P003"
"1895.P001","1895","P001"
"1895.P002","1895","P002"
"1895.P003","1895","P003"
"1896.P001","1896","P001"
"1896.P002","1896","P002"
"1896.P003","1896","P003"
"1906.P001","1906","P001"
"1906.P002","1906","P002"
"1906.P003","1906","P003"
"1926.P001","1926","P001"
"1926.P002","1926","P002"
"1926.P003","1926","P003"
"1929.P001","1929","P001"
"1929.P002","1929","P002"
"1929.P003","1929","P003"
"1931.P001","1931","P001"
"1931.P002","1931","P002"
"1931.P003","1931","P003"
"1932.P001","1932","P001"
"1932.P002","1932","P002"
"1932.P003","1932","P003"
"1933.P001","1933","P001"
"1933.P002","1933","P002"
"1933.P003","1933","P003"
"1936.P001","1936","P001"
"1936.P002","1936","P002"
"1936.P003","1936","P003"
"1937.P001","1937","P001"
"1937.P002","1937","P002"
"1937.P003","1937","P003"
"1940.P001","1940","P001"
"1940.P002","1940","P002"
"1940.P003","1940","P003"
"1941.P001","1941","P001"
"1941.P002","1941","P002"
"1941.P003","1941","P003"
"1942.P001","1942","P001"
"1942.P002","1942","P002"
"1942.P003","1942","P003"
"1943.P001","1943","P001"
"1943.P002","1943","P002"
"1943.P003","1943","P003"
"1947.P001","1947","P001"
"1947.P002","1947","P002"
"1947.P003","1947","P003"
"1951.P001","1951","P001"
"1951.P002","1951","P002"
"1951.P003","1951","P003"
"1956.P001","1956","P001"
"1956.P002","1956","P002"
"1956.P003","1956","P003"
"1958.P001","1958","P001"
"1958.P002","1958","P002"
"1958.P003","1958","P003"
"1967.P001","1967","P001"
"1967.P002","1967","P002"
"1967.P003","1967","P003"
"1969.P001","1969","P001"
"1969.P002","1969","P002"
"1969.P003","1969","P003"
"1973.P001","1973","P001"
"1973.P002","1973","P002"
"1973.P003","1973","P003"
"1994.P001","1994","P001"
"1994.P002","1994","P002"
"1994.P003","1994","P003"
"1997.P001","1997","P001"
"1997.P002","1997","P002"
"1997.P003","1997","P003"
"2002.P001","2002","P001"
"2002.P002","2002","P002"
"2002.P003","2002","P003"
"2007.P001","2007","P001"
"2007.P002","2007","P002"
"2007.P003","2007","P003"
"2008.P001","2008","P001"
"2008.P002","2008","P002"
"2008.P003","2008","P003"
"2013.P001","2013","P001"
"2013.P002","2013","P002"
"2013.P003","2013","P003"
"2022.P001","2022","P001"
"2022.P002","2022","P002"
"2022.P003","2022","P003"
"2025.P001","2025","P001"
"2025.P002","2025","P002"
"2025.P003","2025","P003"
"2030.P001","2030","P001"
"2030.P002","2030","P002"
"2030.P003","2030","P003"
"2032.P001","2032","P001"
"2032.P002","2032","P002"
"2032.P003","2032","P003"
"2036.P001","2036","P001"
"2036.P002","2036","P002"
"2036.P003","2036","P003"
"2039.P001","2039","P001"
"2039.P002","2039","P002"
"2039.P003","2039","P003"
"2046.P001","2046","P001"
"2046.P002","2046","P002"
"2046.P003","2046","P003"
"2047.P001","2047","P001"
"2047.P002","2047","P002"
"2047.P003","2047","P003"
"2049.P001","2049","P001"
"2049.P002","2049","P002"
"2049.P003","2049","P003"
"2066.P001","2066","P001"
"2066.P002","2066","P002"
"2066.P003","2066","P003"
"2072.P001","2072","P001"
"2072.P002","2072","P002"
"2072.P003","2072","P003"
"2074.P001","2074","P001"
"2074.P002","2074","P002"
"2074.P003","2074","P003"
"2075.P001","2075","P001"
"2075.P002","2075","P002"
"2075.P003","2075","P003"
"2087.P001","2087","P001"
"2087.P002","2087","P002"
"2087.P003","2087","P003"
"2093.P001","2093","P001"
"2093.P002","2093","P002"
"2093.P003","2093","P003"
"2128.P001","2128","P001"
"2128.P002","2128","P002"
"2128.P003","2128","P003"
"2136.P001","2136","P001"
"2136.P002","2136","P002"
"2136.P003","2136","P003"
"2138.P001","2138","P001"
"2138.P002","2138","P002"
"2138.P003","2138","P003"
"2144.P001","2144","P001"
"2144.P002","2144","P002"
"2144.P003","2144","P003"
"2145.P001","2145","P001"
"2145.P002","2145","P002"
"2145.P003","2145","P003"
"2146.P001","2146","P001"
"2146.P002","2146","P002"
"2146.P003","2146","P003"
"2148.P001","2148","P001"
"2148.P002","2148","P002"
"2148.P003","2148","P003"
"2149.P001","2149","P001"
"2149.P002","2149","P002"
"2149.P003","2149","P003"
"2150.P001","2150","P001"
"2150.P002","2150","P002"
"2150.P003","2150","P003"
"2184.P001","2184","P001"
"2184.P002","2184","P002"
"2184.P003","2184","P003"
"2186.P001","2186","P001"
"2186.P002","2186","P002"
"2186.P003","2186","P003"
"2188.P001","2188","P001"
"2188.P002","2188","P002"
"2188.P003","2188","P003"
"2190.P001","2190","P001"
"2190.P002","2190","P002"
"2190.P003","2190","P003"
"2192.P001","2192","P001"
"2192.P002","2192","P002"
"2192.P003","2192","P003"
"2197.P001","2197","P001"
"2197.P002","2197","P002"
"2197.P003","2197","P003"
"2205.P001","2205","P001"
"2205.P002","2205","P002"
"2205.P003","2205","P003"
"2218.P001","2218","P001"
"2218.P002","2218","P002"
"2218.P003","2218","P003"
"2227.P001","2227","P001"
"2227.P002","2227","P002"
"2227.P003","2227","P003"
"2235.P001","2235","P001"
"2235.P002","2235","P002"
"2235.P003","2235","P003"
"2236.P001","2236","P001"
"2236.P002","2236","P002"
"2236.P003","2236","P003"
"2250.P001","2250","P001"
"2250.P002","2250","P002"
"2250.P003","2250","P003"
"2253.P001","2253","P001"
"2253.P002","2253","P002"
"2253.P003","2253","P003"
"2262.P001","2262","P001"
"2262.P002","2262","P002"
"2262.P003","2262","P003"
"2274.P001","2274","P001"
"2274.P002","2274","P002"
"2274.P003","2274","P003"
"2295.P001","2295","P001"
"2295.P002","2295","P002"
"2295.P003","2295","P003"
"2302.P001","2302","P001"
"2302.P002","2302","P002"
"2302.P003","2302","P003"
"2303.P001","2303","P001"
"2303.P002","2303","P002"
"2303.P003","2303","P003"
"2309.P001","2309","P001"
"2309.P002","2309","P002"
"2309.P003","2309","P003"
"2312.P001","2312","P001"
"2312.P002","2312","P002"
"2312.P003","2312","P003"
"2316.P001","2316","P001"
"2316.P002","2316","P002"
"2316.P003","2316","P003"
"2318.P001","2318","P001"
"2318.P002","2318","P002"
"2318.P003","2318","P003"
"2319.P001","2319","P001"
"2319.P002","2319","P002"
"2319.P003","2319","P003"
"2322.P001","2322","P001"
"2322.P002","2322","P002"
"2322.P003","2322","P003"
"2323.P001","2323","P001"
"2323.P002","2323","P002"
"2323.P003","2323","P003"
"2336.P001","2336","P001"
"2336.P002","2336","P002"
"2336.P003","2336","P003"
"2356.P001","2356","P001"
"2356.P002","2356","P002"
"2356.P003","2356","P003"
"2357.P001","2357","P001"
"2357.P002","2357","P002"
"2357.P003","2357","P003"
"2359.P001","2359","P001"
"2359.P002","2359","P002"
"2359.P003","2359","P003"
"2360.P001","2360","P001"
"2360.P002","2360","P002"
"2360.P003","2360","P003"
"2362.P001","2362","P001"
"2362.P002","2362","P002"
"2362.P003","2362","P003"
"2363.P001","2363","P001"
"2363.P002","2363","P002"
"2363.P003","2363","P003"
"2365.P001","2365","P001"
"2365.P002","2365","P002"
"2365.P003","2365","P003"
"2366.P001","2366","P001"
"2366.P002","2366","P002"
"2366.P003","2366","P003"
"2367.P001","2367","P001"
"2367.P002","2367","P002"
"2367.P003","2367","P003"
"2368.P001","2368","P001"
"2368.P002","2368","P002"
"2368.P003","2368","P003"
"2369.P001","2369","P001"
"2369.P002","2369","P002"
"2369.P003","2369","P003"
"2370.P001","2370","P001"
"2370.P002","2370","P002"
"2370.P003","2370","P003"
"2372.P001","2372","P001"
"2372.P002","2372","P002"
"2372.P003","2372","P003"
"2373.P001","2373","P001"
"2373.P002","2373","P002"
"2373.P003","2373","P003"
"2374.P001","2374","P001"
"2374.P002","2374","P002"
"2374.P003","2374","P003"
"2376.P001","2376","P001"
"2376.P002","2376","P002"
"2376.P003","2376","P003"
"2377.P001","2377","P001"
"2377.P002","2377","P002"
"2377.P003","2377","P003"
"2378.P001","2378","P001"
"2378.P002","2378","P002"
"2378.P003","2378","P003"
"2381.P001","2381","P001"
"2381.P002","2381","P002"
"2381.P003","2381","P003"
"2383.P001","2383","P001"
"2383.P002","2383","P002"
"2383.P003","2383","P003"
"2384.P001","2384","P001"
"2384.P002","2384","P002"
"2384.P003","2384","P003"
"2386.P001","2386","P001"
"2386.P002","2386","P002"
"2386.P003","2386","P003"
"2388.P001","2388","P001"
"2388.P002","2388","P002"
"2388.P003","2388","P003"
"2389.P001","2389","P001"
"2389.P002","2389","P002"
"2389.P003","2389","P003"
"2391.P001","2391","P001"
"2391.P002","2391","P002"
"2391.P003","2391","P003"
"2395.P001","2395","P001"
"2395.P002","2395","P002"
"2395.P003","2395","P003"
"2397.P001","2397","P001"
"2397.P002","2397","P002"
"2397.P003","2397","P003"
"2403.P001","2403","P001"
"2403.P002","2403","P002"
"2403.P003","2403","P003"
"2407.P001","2407","P001"
"2407.P002","2407","P002"
"2407.P003","2407","P003"
"2408.P001","2408","P001"
"2408.P002","2408","P002"
"2408.P003","2408","P003"
"2410.P001","2410","P001"
"2410.P002","2410","P002"
"2410.P003","2410","P003"
"2430.P001","2430","P001"
"2430.P002","2430","P002"
"2430.P003","2430","P003"
"2434.P001","2434","P001"
"2434.P002","2434","P002"
"2434.P003","2434","P003"
"2437.P001","2437","P001"
"2437.P002","2437","P002"
"2437.P003","2437","P003"
"2443.P001","2443","P001"
"2443.P002","2443","P002"
"2443.P003","2443","P003"
"2450.P001","2450","P001"
"2450.P002","2450","P002"
"2450.P003","2450","P003"
"2453.P001","2453","P001"
"2453.P002","2453","P002"
"2453.P003","2453","P003"
"2465.P001","2465","P001"
"2465.P002","2465","P002"
"2465.P003","2465","P003"
"2473.P001","2473","P001"
"2473.P002","2473","P002"
"2473.P003","2473","P003"
"2491.P001","2491","P001"
"2491.P002","2491","P002"
"2491.P003","2491","P003"
"2493.P001","2493","P001"
"2493.P002","2493","P002"
"2493.P003","2493","P003"
"2495.P001","2495","P001"
"2495.P002","2495","P002"
"2495.P003","2495","P003"
"2499.P001","2499","P001"
