"TrialID","Targ"
"1415.P001","n"
"1415.P002","y"
"1415.P003","n"
"1416.P001","n"
"1416.P002","y"
"1416.P003","n"
"1417.P001","n"
"1417.P002","n"
"1417.P003","n"
"1419.P001","n"
"1419.P002","n"
"1419.P003","n"
"1422.P001","n"
"1422.P002","n"
"1422.P003","n"
"1425.P001","n"
"1425.P002","y"
"1425.P003","n"
"1433.P001","n"
"1433.P002","n"
"1433.P003","n"
"1436.P001","n"
"1436.P002","n"
"1436.P003","n"
"1437.P001","n"
"1437.P002","n"
"1437.P003","n"
"1443.P001","n"
"1443.P002","n"
"1443.P003","n"
"1555.P001","n"
"1555.P002","y"
"1555.P003","n"
"1556.P001","n"
"1556.P002","y"
"1556.P003","n"
"1557.P001","n"
"1557.P002","y"
"1557.P003","n"
"1563.P001","n"
"1563.P002","y"
"1563.P003","n"
"1567.P001","n"
"1567.P002","y"
"1567.P003","n"
"1568.P001","n"
"1568.P002","y"
"1568.P003","n"
"1579.P001","n"
"1579.P002","n"
"1579.P003","n"
"1582.P001","n"
"1582.P002","n"
"1582.P003","n"
"1590.P001","n"
"1590.P002","n"
"1590.P003","n"
"1600.P001","n"
"1600.P002","n"
"1600.P003","n"
"1605.P001","n"
"1605.P002","y"
"1605.P003","n"
"1609.P001","n"
"1609.P002","y"
"1609.P003","n"
"1610.P001","n"
"1610.P002","y"
"1610.P003","n"
"1612.P001","n"
"1612.P002","y"
"1612.P003","n"
"1613.P001","n"
"1613.P002","y"
"1613.P003","n"
"1615.P001","n"
"1615.P002","y"
"1615.P003","n"
"1620.P001","n"
"1620.P002","n"
"1620.P003","n"
"1622.P001","n"
"1622.P002","n"
"1622.P003","n"
"1637.P001","n"
"1637.P002","n"
"1637.P003","n"
"1639.P001","n"
"1639.P002","n"
"1639.P003","n"
"1640.P001","n"
"1640.P002","n"
"1640.P003","n"
"1646.P001","n"
"1646.P002","n"
"1646.P003","n"
"1667.P001","n"
"1667.P002","y"
"1667.P003","n"
"1673.P001","n"
"1673.P002","y"
"1673.P003","n"
"1681.P001","n"
"1681.P002","n"
"1681.P003","n"
"1684.P001","n"
"1684.P002","n"
"1684.P003","n"
"1722.P001","n"
"1722.P002","n"
"1722.P003","n"
"1724.P001","n"
"1724.P002","n"
"1724.P003","n"
"1726.P001","n"
"1726.P002","n"
"1726.P003","n"
"1728.P001","n"
"1728.P002","n"
"1728.P003","n"
"1729.P001","n"
"1729.P002","n"
"1729.P003","n"
"1731.P001","n"
"1731.P002","n"
"1731.P003","n"
"1734.P001","n"
"1734.P002","n"
"1734.P003","n"
"1742.P001","n"
"1742.P002","n"
"1742.P003","n"
"1764.P001","n"
"1764.P002","n"
"1764.P003","n"
"1765.P001","n"
"1765.P002","n"
"1765.P003","n"
"1769.P001","n"
"1769.P002","n"
"1769.P003","n"
"1777.P001","n"
"1777.P002","n"
"1777.P003","n"
"1778.P001","n"
"1778.P002","n"
"1778.P003","n"
"1779.P001","n"
"1779.P002","n"
"1779.P003","n"
"1783.P001","n"
"1783.P002","n"
"1783.P003","n"
"1789.P001","n"
"1789.P002","n"
"1789.P003","y"
"1792.P001","y"
"1792.P002","n"
"1792.P003","n"
"1796.P001","y"
"1796.P002","n"
"1796.P003","n"
"1808.P001","n"
"1808.P002","y"
"1808.P003","n"
"1817.P001","n"
"1817.P002","n"
"1817.P003","n"
"1819.P001","n"
"1819.P002","n"
"1819.P003","n"
"1824.P001","n"
"1824.P002","n"
"1824.P003","n"
"1825.P001","n"
"1825.P002","n"
"1825.P003","n"
"1828.P001","n"
"1828.P002","n"
"1828.P003","n"
"1831.P001","n"
"1831.P002","n"
"1831.P003","n"
"1832.P001","n"
"1832.P002","n"
"1832.P003","n"
"1834.P001","y"
"1834.P002","n"
"1834.P003","n"
"1835.P001","n"
"1835.P002","n"
"1835.P003","n"
"1836.P001","n"
"1836.P002","n"
"1836.P003","n"
"1840.P001","y"
"1840.P002","n"
"1840.P003","n"
"1842.P001","n"
"1842.P002","n"
"1842.P003","n"
"1844.P001","n"
"1844.P002","n"
"1844.P003","n"
"1845.P001","n"
"1845.P002","n"
"1845.P003","n"
"1848.P001","n"
"1848.P002","n"
"1848.P003","n"
"1849.P001","n"
"1849.P002","n"
"1849.P003","n"
"1850.P001","n"
"1850.P002","n"
"1850.P003","n"
"1851.P001","n"
"1851.P002","n"
"1851.P003","n"
"1852.P001","n"
"1852.P002","n"
"1852.P003","n"
"1854.P001","n"
"1854.P002","n"
"1854.P003","n"
"1858.P001","n"
"1858.P002","n"
"1858.P003","n"
"1860.P001","n"
"1860.P002","n"
"1860.P003","n"
"1864.P001","n"
"1864.P002","n"
"1864.P003","y"
"1865.P001","n"
"1865.P002","n"
"1865.P003","n"
"1866.P001","n"
"1866.P002","n"
"1866.P003","n"
"1868.P001","n"
"1868.P002","n"
"1868.P003","n"
"1872.P001","n"
"1872.P002","n"
"1872.P003","n"
"1873.P001","n"
"1873.P002","n"
"1873.P003","n"
"1883.P001","y"
"1883.P002","n"
"1883.P003","n"
"1887.P001","y"
"1887.P002","n"
"1887.P003","n"
"1889.P001","y"
"1889.P002","n"
"1889.P003","n"
"1897.P001","n"
"1897.P002","n"
"1897.P003","n"
"1898.P001","n"
"1898.P002","n"
"1898.P003","n"
"1900.P001","n"
"1900.P002","n"
"1900.P003","n"
"1902.P001","y"
"1902.P002","n"
"1902.P003","n"
"1907.P001","y"
"1907.P002","n"
"1907.P003","n"
"1908.P001","y"
"1908.P002","n"
"1908.P003","n"
"1910.P001","y"
"1910.P002","n"
"1910.P003","n"
"1938.P001","n"
"1938.P002","n"
"1938.P003","n"
"1939.P001","n"
"1939.P002","n"
"1939.P003","n"
"1944.P001","n"
"1944.P002","n"
"1944.P003","n"
"1945.P001","n"
"1945.P002","n"
"1945.P003","n"
"1946.P001","n"
"1946.P002","n"
"1946.P003","n"
"1948.P001","n"
"1948.P002","n"
"1948.P003","n"
"1950.P001","n"
"1950.P002","n"
"1950.P003","n"
"1952.P001","n"
"1952.P002","n"
"1952.P003","n"
"1955.P001","y"
"1955.P002","n"
"1955.P003","n"
"1957.P001","y"
"1957.P002","n"
"1957.P003","n"
"1963.P001","y"
"1963.P002","n"
"1963.P003","n"
"1968.P001","y"
"1968.P002","n"
"1968.P003","n"
"1971.P001","y"
"1971.P002","n"
"1971.P003","n"
"1972.P001","y"
"1972.P002","n"
"1972.P003","n"
"1979.P001","n"
"1979.P002","n"
"1979.P003","n"
"1980.P001","y"
"1980.P002","n"
"1980.P003","n"
"1986.P001","y"
"1986.P002","n"
"1986.P003","n"
"1992.P001","n"
"1992.P002","y"
"1992.P003","n"
"1995.P001","n"
"1995.P002","y"
"1995.P003","n"
"2004.P001","n"
"2004.P002","y"
"2004.P003","n"
"2010.P001","n"
"2010.P002","y"
"2010.P003","n"
"2018.P001","n"
"2018.P002","n"
"2018.P003","n"
"2021.P001","n"
"2021.P002","n"
"2021.P003","n"
"2062.P001","n"
"2062.P002","n"
"2062.P003","n"
"2065.P001","n"
"2065.P002","n"
"2065.P003","n"
"2069.P001","n"
"2069.P002","n"
"2069.P003","n"
"2071.P001","n"
"2071.P002","n"
"2071.P003","n"
"2079.P001","n"
"2079.P002","n"
"2079.P003","y"
"2096.P001","n"
"2096.P002","n"
"2096.P003","y"
"2132.P001","n"
"2132.P002","n"
"2132.P003","n"
"2135.P001","n"
"2135.P002","n"
"2135.P003","n"
"2140.P001","n"
"2140.P002","n"
"2140.P003","n"
"2143.P001","n"
"2143.P002","n"
"2143.P003","n"
"2147.P001","n"
"2147.P002","n"
"2147.P003","n"
"2153.P001","n"
"2153.P002","n"
"2153.P003","n"
"2157.P001","n"
"2157.P002","n"
"2157.P003","n"
"2158.P001","n"
"2158.P002","n"
"2158.P003","n"
"2194.P001","n"
"2194.P002","n"
"2194.P003","n"
"2195.P001","n"
"2195.P002","n"
"2195.P003","n"
"2196.P001","n"
"2196.P002","n"
"2196.P003","n"
"2199.P001","n"
"2199.P002","n"
"2199.P003","n"
"2209.P001","n"
"2209.P002","n"
"2209.P003","n"
"2219.P001","n"
"2219.P002","n"
"2219.P003","n"
"2222.P001","n"
"2222.P002","n"
"2222.P003","n"
"2224.P001","n"
"2224.P002","n"
"2224.P003","n"
"2225.P001","n"
"2225.P002","n"
"2225.P003","n"
"2228.P001","n"
"2228.P002","n"
"2228.P003","n"
"2229.P001","n"
"2229.P002","n"
"2229.P003","n"
"2233.P001","n"
"2233.P002","n"
"2233.P003","n"
"2237.P001","n"
"2237.P002","n"
"2237.P003","n"
"2239.P001","n"
"2239.P002","n"
"2239.P003","n"
"2248.P001","n"
"2248.P002","n"
"2248.P003","n"
"2255.P001","n"
"2255.P002","n"
"2255.P003","n"
"2259.P001","n"
"2259.P002","n"
"2259.P003","n"
"2267.P001","n"
"2267.P002","n"
"2267.P003","y"
"2272.P001","n"
"2272.P002","n"
"2272.P003","y"
"2279.P001","n"
"2279.P002","n"
"2279.P003","y"
"2289.P001","n"
"2289.P002","n"
"2289.P003","n"
"2293.P001","n"
"2293.P002","n"
"2293.P003","n"
"2297.P001","n"
"2297.P002","n"
"2297.P003","n"
"2298.P001","n"
"2298.P002","n"
"2298.P003","n"
"2301.P001","n"
"2301.P002","n"
"2301.P003","n"
"2304.P001","n"
"2304.P002","n"
"2304.P003","n"
"2306.P001","n"
"2306.P002","n"
"2306.P003","n"
"2311.P001","n"
"2311.P002","n"
"2311.P003","n"
"2313.P001","n"
"2313.P002","n"
"2313.P003","n"
"2315.P001","n"
"2315.P002","n"
"2315.P003","n"
"2317.P001","n"
"2317.P002","n"
"2317.P003","n"
"2321.P001","n"
"2321.P002","n"
"2321.P003","n"
"2335.P001","n"
"2335.P002","n"
"2335.P003","n"
"2352.P001","n"
"2352.P002","n"
"2352.P003","n"
"2361.P001","n"
"2361.P002","n"
"2361.P003","n"
"2371.P001","n"
"2371.P002","n"
"2371.P003","n"
"2375.P001","n"
"2375.P002","n"
"2375.P003","n"
"2380.P001","n"
"2380.P002","n"
"2380.P003","n"
"2387.P001","n"
"2387.P002","n"
"2387.P003","n"
"2390.P001","n"
"2390.P002","n"
"2390.P003","n"
"2392.P001","n"
"2392.P002","n"
"2392.P003","n"
"2393.P001","n"
"2393.P002","n"
"2393.P003","n"
"2399.P001","n"
"2399.P002","n"
"2399.P003","n"
"2404.P001","n"
"2404.P002","n"
"2404.P003","n"
"2405.P001","n"
"2405.P002","n"
"2405.P003","n"
"2409.P001","n"
"2409.P002","n"
"2409.P003","n"
"2411.P001","n"
"2411.P002","n"
"2411.P003","n"
"2412.P001","n"
"2412.P002","n"
"2412.P003","n"
"2415.P001","n"
"2415.P002","n"
"2415.P003","n"
"2419.P001","n"
"2419.P002","n"
"2419.P003","n"
"2420.P001","n"
"2420.P002","n"
"2420.P003","n"
"2422.P001","n"
"2422.P002","n"
"2422.P003","n"
"2446.P001","n"
"2446.P002","n"
"2446.P003","n"
"2448.P001","n"
"2448.P002","n"
"2448.P003","n"
"2496.P001","n"
"2496.P002","n"
"2496.P003","y"
"2504.P001","n"
"2504.P002","n"
"2504.P003","n"
"2508.P001","n"
"2508.P002","n"
"2508.P003","n"
"2521.P001","n"
"2521.P002","n"
"2521.P003","n"
"2522.P001","n"
"2522.P002","n"
"2522.P003","n"
"2523.P001","n"
"2523.P002","n"
"2523.P003","n"
"2526.P001","n"
"2526.P002","n"
"2526.P003","n"
"2528.P001","n"
"2528.P002","n"
"2528.P003","n"
"2529.P001","n"
"2529.P002","n"
"2529.P003","n"
"2532.P001","n"
"2532.P002","n"
"2532.P003","n"
"2550.P001","n"
"2550.P002","n"
"2550.P003","n"
"2552.P001","n"
"2552.P002","n"
"2552.P003","n"
"2553.P001","n"
"2553.P002","n"
"2553.P003","n"
"2557.P001","n"
"2557.P002","n"
"2557.P003","n"
"2562.P001","n"
"2562.P002","n"
"2562.P003","y"
"2566.P001","n"
"2566.P002","n"
"2566.P003","n"
"2571.P001","n"
"2571.P002","n"
"2571.P003","y"
"2573.P001","n"
"2573.P002","n"
"2573.P003","y"
"2574.P001","n"
"2574.P002","n"
"2574.P003","y"
"2575.P001","n"
"2575.P002","n"
"2575.P003","y"
"2580.P001","n"
"2580.P002","n"
"2580.P003","n"
"2584.P001","n"
"2584.P002","n"
"2584.P003","n"
"2588.P001","n"
"2588.P002","n"
"2588.P003","y"
"2595.P001","n"
"2595.P002","n"
"2595.P003","n"
"2599.P001","n"
"2599.P002","n"
"2599.P003","n"
"2601.P001","n"
"2601.P002","n"
"2601.P003","n"
"2602.P001","n"
"2602.P002","n"
"2602.P003","n"
"2604.P001","n"
"2604.P002","n"
"2604.P003","y"
"2606.P001","n"
"2606.P002","n"
"2606.P003","n"
"2607.P001","n"
"2607.P002","n"
"2607.P003","y"
"2608.P001","n"
"2608.P002","n"
"2608.P003","n"
"2609.P001","n"
"2609.P002","n"
"2609.P003","n"
"2610.P001","n"
"2610.P002","n"
"2610.P003","n"
"2615.P001","n"
"2615.P002","n"
"2615.P003","n"
"2616.P001","n"
"2616.P002","n"
"2616.P003","n"
"2617.P001","n"
"2617.P002","n"
"2617.P003","n"
"2618.P001","n"
"2618.P002","n"
"2618.P003","n"
"2622.P001","n"
"2622.P002","n"
"2622.P003","n"
"2635.P001","n"
"2635.P002","n"
"2635.P003","y"
"2639.P001","n"
"2639.P002","n"
"2639.P003","n"
"2647.P001","n"
"2647.P002","n"
"2647.P003","n"
"2649.P001","n"
"2649.P002","n"
"2649.P003","n"
"2650.P001","n"
"2650.P002","n"
"2650.P003","n"
"2655.P001","n"
"2655.P002","n"
"2655.P003","n"
"2657.P001","n"
"2657.P002","n"
"2657.P003","n"
"2658.P001","n"
"2658.P002","n"
"2658.P003","y"
"2667.P001","n"
"2667.P002","n"
"2667.P003","y"
"2669.P001","n"
"2669.P002","n"
"2669.P003","n"
"2674.P001","n"
"2674.P002","n"
"2674.P003","y"
"2675.P001","n"
"2675.P002","n"
"2675.P003","y"
"2677.P001","n"
"2677.P002","n"
"2677.P003","y"
"2682.P001","n"
"2682.P002","n"
"2682.P003","y"
"2685.P001","n"
"2685.P002","n"
"2685.P003","n"
"2687.P001","n"
"2687.P002","n"
"2687.P003","n"
"2691.P001","n"
"2691.P002","n"
"2691.P003","n"
"2698.P001","n"
"2698.P002","n"
"2698.P003","n"
"2702.P001","n"
"2702.P002","n"
"2702.P003","n"
"2703.P001","n"
"2703.P002","n"
"2703.P003","n"
"2705.P001","n"
"2705.P002","n"
"2705.P003","n"
"2707.P001","n"
"2707.P002","n"
"2707.P003","y"
"2710.P001","n"
"2710.P002","n"
"2710.P003","n"
"2711.P001","n"
"2711.P002","n"
"2711.P003","n"
"2713.P001","n"
"2713.P002","n"
"2713.P003","n"
"2714.P001","n"
"2714.P002","n"
"2714.P003","n"
"2715.P001","n"
"2715.P002","n"
"2715.P003","n"
"2716.P001","n"
"2716.P002","n"
"2716.P003","n"
"2718.P001","n"
"2718.P002","n"
"2718.P003","n"
"2720.P001","n"
"2720.P002","n"
"2720.P003","n"
"2721.P001","n"
"2721.P002","n"
"2721.P003","n"
"2723.P001","n"
"2723.P002","n"
"2723.P003","n"
"2724.P001","n"
"2724.P002","n"
"2724.P003","n"
"2728.P001","n"
"2728.P002","n"
"2728.P003","n"
"2736.P001","n"
"2736.P002","n"
"2736.P003","y"
"2742.P001","n"
"2742.P002","n"
"2742.P003","y"
"2749.P001","n"
"2749.P002","n"
"2749.P003","y"
"2759.P001","n"
"2759.P002","y"
"2759.P003","n"
"2760.P001","n"
"2760.P002","y"
"2760.P003","n"
"2762.P001","n"
"2762.P002","y"
"2762.P003","n"
"2768.P001","n"
"2768.P002","n"
"2768.P003","y"
"2769.P001","n"
"2769.P002","n"
"2769.P003","y"
"2780.P001","n"
"2780.P002","n"
"2780.P003","y"
"2782.P001","n"
"2782.P002","n"
"2782.P003","y"
"2786.P001","n"
"2786.P002","n"
"2786.P003","y"
"2789.P001","n"
"2789.P002","n"
"2789.P003","y"
"2791.P001","n"
"2791.P002","n"
"2791.P003","y"
"2807.P001","n"
"2807.P002","n"
"2807.P003","y"
"2809.P001","n"
"2809.P002","n"
"2809.P003","n"
"2810.P001","n"
"2810.P002","n"
"2810.P003","n"
"2812.P001","n"
"2812.P002","n"
"2812.P003","n"
"2814.P001","n"
"2814.P002","n"
"2814.P003","n"
"2818.P001","y"
"2818.P002","n"
"2818.P003","n"
"2825.P001","n"
"2825.P002","n"
"2825.P003","n"
"2828.P001","n"
"2828.P002","n"
"2828.P003","n"
"2832.P001","n"
"2832.P002","n"
"2832.P003","n"
"2834.P001","n"
"2834.P002","n"
"2834.P003","n"
"2835.P001","n"
"2835.P002","n"
"2835.P003","n"
"2836.P001","n"
"2836.P002","n"
"2836.P003","n"
"2837.P001","n"
"2837.P002","n"
"2837.P003","n"
"2838.P001","y"
"2838.P002","n"
"2838.P003","n"
"2839.P001","n"
"2839.P002","n"
"2839.P003","y"
"2840.P001","n"
"2840.P002","n"
"2840.P003","y"
"2842.P001","n"
"2842.P002","n"
"2842.P003","n"
"2846.P001","n"
"2846.P002","n"
"2846.P003","n"
"2848.P001","n"
"2848.P002","n"
"2848.P003","n"
"2851.P001","n"
"2851.P002","n"
"2851.P003","n"
"2856.P001","n"
"2856.P002","n"
"2856.P003","n"
"2857.P001","n"
"2857.P002","n"
"2857.P003","n"
"2858.P001","n"
"2858.P002","n"
"2858.P003","n"
"3002.P001","n"
"3002.P002","n"
"3002.P003","n"
"3006.P001","n"
"3006.P002","n"
"3006.P003","n"
"3007.P001","n"
"3007.P002","n"
"3007.P003","n"
"3012.P001","n"
"3012.P002","n"
"3012.P003","n"
"3013.P001","n"
"3013.P002","n"
"3013.P003","n"
"3014.P001","n"
"3014.P002","n"
"3014.P003","n"
"3015.P001","n"
"3015.P002","n"
"3015.P003","n"
"3016.P001","n"
"3016.P002","n"
"3016.P003","n"
"3017.P001","n"
"3017.P002","n"
"3017.P003","n"
"3019.P001","n"
"3019.P002","n"
"3019.P003","n"
"3020.P001","n"
"3020.P002","n"
"3020.P003","n"
"3021.P001","n"
"3021.P002","n"
"3021.P003","n"
"3022.P001","n"
"3022.P002","n"
"3022.P003","n"
"3024.P001","n"
"3024.P002","n"
"3024.P003","n"
"3025.P001","n"
"3025.P002","n"
"3025.P003","n"
"3027.P001","n"
"3027.P002","n"
"3027.P003","n"
"3031.P001","n"
"3031.P002","n"
"3031.P003","n"
"3032.P001","n"
"3032.P002","n"
"3032.P003","n"
"3034.P001","n"
"3034.P002","n"
"3034.P003","n"
"3071.P001","y"
"3071.P002","n"
"3071.P003","n"
"3072.P001","n"
"3072.P002","n"
"3072.P003","n"
"3077.P001","n"
"3077.P002","n"
"3077.P003","n"
"3078.P001","n"
"3078.P002","n"
"3078.P003","n"
"3081.P001","n"
"3081.P002","n"
"3081.P003","n"
"3082.P001","n"
"3082.P002","n"
"3082.P003","n"
"3097.P001","n"
"3097.P002","n"
"3097.P003","n"
"3099.P001","n"
"3099.P002","n"
"3099.P003","n"
"3100.P001","n"
"3100.P002","n"
"3100.P003","n"
"3107.P001","n"
"3107.P002","n"
"3107.P003","n"
"3113.P001","n"
"3113.P002","n"
"3113.P003","n"
"3114.P001","n"
"3114.P002","n"
"3114.P003","n"
"3115.P001","n"
"3115.P002","n"
"3115.P003","n"
"3116.P001","n"
"3116.P002","n"
"3116.P003","n"
"3117.P001","n"
"3117.P002","n"
"3117.P003","n"
"3118.P001","n"
"3118.P002","n"
"3118.P003","n"
"3119.P001","n"
"3119.P002","n"
"3119.P003","n"
"3123.P001","n"
"3123.P002","n"
"3123.P003","n"
"3124.P001","n"
"3124.P002","n"
"3124.P003","n"
"3126.P001","n"
"3126.P002","n"
"3126.P003","n"
"3129.P001","n"
"3129.P002","n"
"3129.P003","n"
"3131.P001","n"
"3131.P002","n"
"3131.P003","n"
"3132.P001","n"
"3132.P002","n"
"3132.P003","n"
"3135.P001","n"
"3135.P002","n"
"3135.P003","n"
"3136.P001","n"
"3136.P002","n"
"3136.P003","y"
"3137.P001","n"
"3137.P002","n"
"3137.P003","y"
"3143.P001","n"
"3143.P002","n"
"3143.P003","n"
"3148.P001","n"
"3148.P002","n"
"3148.P003","n"
"3154.P001","n"
"3154.P002","n"
"3154.P003","n"
"3155.P001","n"
"3155.P002","n"
"3155.P003","n"
"3157.P001","n"
"3157.P002","n"
"3157.P003","y"
"3160.P001","n"
"3160.P002","n"
"3160.P003","n"
"3161.P001","n"
"3161.P002","n"
"3161.P003","n"
"3162.P001","n"
"3162.P002","n"
"3162.P003","n"
"3168.P001","n"
"3168.P002","n"
"3168.P003","n"
"3169.P001","n"
"3169.P002","n"
"3169.P003","n"
"3170.P001","n"
"3170.P002","n"
"3170.P003","n"
"3171.P001","n"
"3171.P002","n"
"3171.P003","n"
"3173.P001","n"
"3173.P002","n"
"3173.P003","n"
"3174.P001","n"
"3174.P002","n"
"3174.P003","n"
"3180.P001","n"
"3180.P002","n"
"3180.P003","n"
"3183.P001","n"
"3183.P002","n"
"3183.P003","n"
"3184.P001","n"
"3184.P002","n"
"3184.P003","n"
"3185.P001","n"
"3185.P002","n"
